epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,2496.69,0.56826,1.02258,0.55882,1.00089,0.89891,0.89809,0.92993,0.789,0.89669,0.89611,0.92718,0.75211,0.59832,1.07766,0.50725,1.00477,0.00043632,0.00043632,0.00043632
54,2544.8,0.54435,0.97969,0.53935,0.9943,0.91876,0.90935,0.94026,0.79832,0.90953,0.90099,0.93247,0.75734,0.60493,1.03279,0.49501,1.02111,0.00042723,0.00042723,0.00042723
55,2592.09,0.54493,1.0033,0.52923,0.98931,0.92889,0.88959,0.93729,0.79772,0.91478,0.87751,0.92517,0.75822,0.60191,1.0171,0.50862,1.02968,0.00041814,0.00041814,0.00041814
56,2639.38,0.54562,0.98242,0.5265,0.98828,0.92729,0.8717,0.93127,0.78869,0.91928,0.86476,0.92445,0.7469,0.595,1.01682,0.50873,1.01182,0.00040905,0.00040905,0.00040905
57,2687.22,0.54414,0.92767,0.52003,0.98632,0.88614,0.91325,0.94317,0.80382,0.9493,0.85529,0.9318,0.75571,0.57545,1.03847,0.47238,0.99489,0.00039996,0.00039996,0.00039996
58,2734.13,0.54236,0.99036,0.52911,0.98675,0.90232,0.90088,0.92941,0.78841,0.8936,0.89423,0.92244,0.74888,0.58047,1.05194,0.50073,0.99442,0.00039087,0.00039087,0.00039087
59,2781.5,0.53802,0.96335,0.52638,0.9832,0.93669,0.8882,0.94046,0.80567,0.92738,0.90208,0.93895,0.76259,0.56678,1.00176,0.46058,0.97897,0.00038178,0.00038178,0.00038178
60,2828.85,0.53759,0.97517,0.52403,0.98605,0.94313,0.8913,0.94048,0.79797,0.95472,0.88733,0.93434,0.74955,0.55659,1.05906,0.44418,0.97073,0.00037269,0.00037269,0.00037269
61,2876.27,0.53686,0.96532,0.51785,0.98333,0.9319,0.87776,0.92889,0.8013,0.92467,0.86985,0.92349,0.75505,0.56574,1.02877,0.46752,0.9951,0.0003636,0.0003636,0.0003636
62,2924.01,0.52093,0.96105,0.5071,0.97707,0.94433,0.89224,0.93746,0.80279,0.93207,0.89106,0.93464,0.75407,0.5594,1.05698,0.45935,0.97792,0.00035451,0.00035451,0.00035451
